"hfpxzc href","qBF1Pd","W4Efsd 2","W4Efsd 3"
"https://www.google.com/maps/place/44.+Durak/data=!4m7!3m6!1s0x14d34f1b8d6bc0b5:0x8c7f7f32f5a5e9b6!8m2!3d39.921717!4d32.838169!16s%2Fg%2F11b7q3shx2!19sChIJtcBrjRtP0xQRtuml9TJ_f4w?authuser=0&hl=tr&rclk=1","44. Durak","·","Spor Park Cd."
"https://www.google.com/maps/place/Otob%C3%BCs+Dura%C4%9F%C4%B1/data=!4m7!3m6!1s0x14d34f4a0112d699:0xeab9cd9267a4ef37!8m2!3d39.915931!4d32.813861!16s%2Fg%2F11b7q3my43!19sChIJmdYSAUpP0xQRN--kZ5LNueo?authuser=0&hl=tr&rclk=1","Otobüs Durağı","·","Mevlana Blv."
"https://www.google.com/maps/place/34.+Durak/data=!4m7!3m6!1s0x14d34efe2718f9bf:0x1426666b7cd9db09!8m2!3d39.923259!4d32.849795!16s%2Fg%2F11b7q1qg8s!19sChIJv_kYJ_5O0xQRCdvZfGtmJhQ?authuser=0&hl=tr&rclk=1","34. Durak","·","Gazi Mustafa Kemal Blv."
"https://www.google.com/maps/place/22.+Durak/data=!4m7!3m6!1s0x14d345beae7b0f3b:0xfe74b1d9b231bef2!8m2!3d39.867967!4d32.836097!16s%2Fg%2F11b7q3smm4!19sChIJOw97rr5F0xQR8r4xstmxdP4?authuser=0&hl=tr&rclk=1","22. Durak","·","931. Cd."
"https://www.google.com/maps/place/K%C4%B1z%C4%B1l%C4%B1rmak/data=!4m7!3m6!1s0x14d34f52b4a41bb1:0xcefc1b0df8150bd3!8m2!3d39.90768!4d32.80841!16s%2Fg%2F11b7q0gj2k!19sChIJsRuktFJP0xQR0wsV-A0b_M4?authuser=0&hl=tr&rclk=1","Kızılırmak","·","Ufuk Ünv. Cd"
"https://www.google.com/maps/place/21.+Durak/data=!4m7!3m6!1s0x14d34fbb8c4e7ab5:0x9054818ad56744f8!8m2!3d39.90369!4d32.868854!16s%2Fg%2F11b7q6lb9p!19sChIJtXpOjLtP0xQR-ERn1YqBVJA?authuser=0&hl=tr&rclk=1","21. Durak","·","Reşit Galip Cd."
"https://www.google.com/maps/place/Odt%C3%BC+%C4%B0n%C5%9Faat+M%C3%BChendisli%C4%9Fi+Otob%C3%BCs+Dura%C4%9F%C4%B1/data=!4m7!3m6!1s0x14d3464073f537f5:0x9dc2351daaa654b!8m2!3d39.888426!4d32.784201!16s%2Fg%2F11b7p_gyx6!19sChIJ9Tf1c0BG0xQRS2Wq2lEj3Ak?authuser=0&hl=tr&rclk=1","Odtü İnşaat Mühendisliği Otobüs Durağı","·","ODTÜ Kampüsü"
"https://www.google.com/maps/place/2.+Durak/data=!4m7!3m6!1s0x14d34f372e645a5f:0xd28ab70ff01216b!8m2!3d39.919268!4d32.817471!16s%2Fg%2F11b7q7sw1f!19sChIJX1pkLjdP0xQRayEB_3CrKA0?authuser=0&hl=tr&rclk=1","2. Durak","·","Bişkek Cd."
"https://www.google.com/maps/place/Maden+Tetkik+Arama/data=!4m7!3m6!1s0x14d348a5ed053b8f:0x6066e0ac34580412!8m2!3d39.908904!4d32.796374!16s%2Fg%2F11bycjy5x5!19sChIJjzsF7aVI0xQREgRYNKzgZmA?authuser=0&hl=tr&rclk=1","Maden Tetkik Arama","·","Dumlupınar Blv."
"https://www.google.com/maps/place/Adli%CC%87ye/data=!4m7!3m6!1s0x14d34899a5eab8b5:0xe99f2584ad521193!8m2!3d39.915013!4d32.782269!16s%2Fg%2F11v9d20zzb!19sChIJtbjqpZlI0xQRkxFSrYQln-k?authuser=0&hl=tr&rclk=1","Adli̇ye","",""
